,Protection from violence,,,Economic autonomy,,Reproductive healthcare access,,,,,,,,,,,,,,,,
,Does state law: ,,,,,,,,,,,,,,,,,,,,,
,"Protect all workers from sexual harassment in the workplace, regardless of company size?",Require the relinquishment of firearms from abusers subject to DV protective orders?,"Guarantee unemployment benefits to victimes of domestic violence, sexual assault, and stalking?",Mandate paid parental leave?,Set the minimum wage above the low-income threshold of $12 an hour?,Allow women to have an abortion without state-mandated in-person counseling?,Ratify the Equal Rights Amendment?,Percent ,,,,,,,,,,,,,,
State,,,,,,,,,,,,,,,,,,,,,,
Alabama,0,0,0,0,0,1,0,14.3,,,,,,,,,,,,,,
Alaska,1,0,0,0,0,1,1,42.9,,,,,,,,,,,,,,
Arizona,0,0,0,0,1,0,0,14.3,,,,,,,,,,,,,,
Arkansas,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,
California,0,1,0,1,1,1,1,71.4,,,,,,,,,,,,,,
Colorado,1,1,0,0,1,1,1,71.4,,,,,,,,,,,,,,
Connecticut,0,1,0,1 a,0,1,1,57.1,,,,,,,,,,,,,,
Delaware,0,0,0,0,0,1,0,14.3,,,,,,,,,,,,,,
District of Columbia,1,0,0,1,1,1,1,71.4,,,,,,,,,,,,,,
Florida,0,0,0,0,0,1 e,0,14.3,,,,,,,,,,,,,,
Georgia,0,0,0,0,0,1,1,28.6,,,,,,,,,,,,,,
Hawaii,1,1,1,0,0,1,1,71.4,,,,,,,,,,,,,,
Idaho,0,0,0,0,0,1,0 d,14.3,,,,,,,,,,,,,,
Illinois,1,1,1,0,0,1,1,71.4,,,,,,,,,,,,,,
Indiana,0,0,0,0,0,0,1,14.3,,,,,,,,,,,,,,
Iowa,0,0,0,0,0,0 g,1,14.3,,,,,,,,,,,,,,
Kansas,0,0,0,0,0,1,1,28.6,,,,,,,,,,,,,,
Kentucky,0,0,0,0,0,0 f,0 d,0.0,,,,,,,,,,,,,,
Louisiana,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,
Maine,1,0,0,0,1,1,1,57.1,,,,,,,,,,,,,,
Maryland,0,1,0,0,0,1,1,42.9,,,,,,,,,,,,,,
Massachusetts,0,1,0,1 a,1,1,1,71.4,,,,,,,,,,,,,,
Michigan,1,0,0,0,0,1,1,42.9,,,,,,,,,,,,,,
Minnesota,1,0,1,0,0,1,1,57.1,,,,,,,,,,,,,,
Mississippi,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,
Missouri,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,
Montana,1,0,1,0,0,1,1,57.1,,,,,,,,,,,,,,
Nebraska,0,0,0,0,0,1,0 d,14.3,,,,,,,,,,,,,,
Nevada,0,0,0,0,0,1,1,28.6,,,,,,,,,,,,,,
New Hampshire,0,1,0,0,0,1,1,42.9,,,,,,,,,,,,,,
New Jersey,1,1,0,1,0,1,1,71.4,,,,,,,,,,,,,,
New Mexico,0,0,1,0,0,1,1,42.9,,,,,,,,,,,,,,
New York,1,0,0,1,0,1,1,57.1,,,,,,,,,,,,,,
North Carolina,0,0,0,0,0,1,0,14.3,,,,,,,,,,,,,,
North Dakota,1,0,0,0,0,1,1,42.9,,,,,,,,,,,,,,
Ohio,0,0,0,0,0,0,1,14.3,,,,,,,,,,,,,,
Oklahoma,1,0,0,0,0,1,0,28.6,,,,,,,,,,,,,,
Oregon,1,1,1,1 a,0,1,1,85.7,,,,,,,,,,,,,,
Pennsylvania,0,1,0,0,0,1,1,42.9,,,,,,,,,,,,,,
Rhode Island,0,0,0,1,0,1,1,42.9,,,,,,,,,,,,,,
South Carolina,0,0,0,0,0,1,0,14.3,,,,,,,,,,,,,,
South Dakota,1,0,0,0,0,0,0 d,14.3,,,,,,,,,,,,,,
Tennessee,0,1,0,0,0,0,0 d,14.3,,,,,,,,,,,,,,
Texas,0,0,1,0,0,0 b,1,28.6,,,,,,,,,,,,,,
Utah,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,
Vermont,1,0,1,0,0,1,1,57.1,,,,,,,,,,,,,,
Virginia,0,0,0,0,0,1,1,28.6,,,,,,,,,,,,,,
Washington,0,0,0,1,1,1,1,57.1,,,,,,,,,,,,,,
West Virginia,0,0,0,0,0,1,1,28.6,,,,,,,,,,,,,,
Wisconsin,1,1,0,0,0,0,1,42.9,,,,,,,,,,,,,,
Wyoming,0,0,0,0,0,1,1,28.6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Total,17,13,8,9,7,37,34,,,,,,,,,,,,,,,
Data source,Farkas et al. 2019,Giffords Law Center to Prevent Gun Violence 2018,Legal Momentum 2014,A Better Balance 2020,Economic Policy Institute 2020,Guttmacher Institute 2020,Alice Paul Institute 2018,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
a. Law has not yet gone into effect.,,,,,,,,,,,,,,,,,,,,,,
b. Does not apply to women who live more than 100 miles from an abortion provider.,,,,,,,,,,,,,,,,,,,,,,
c. Counseling can be provided in person or via telemedicine.,,,,,,,,,,,,,,,,,,,,,,
"d. State voted to rescind the ERA. However, this is a legal nullity since there is no article that allows for recinding.",,,,,,,,,,,,,,,,,,,,,,
e. Law or enforcement is permanently enjoined. Policy is not in effect.,,,,,,,,,,,,,,,,,,,,,,
f. A woman may be able to use telemedicine for abortion counseling.,,,,,,,,,,,,,,,,,,,,,,
g. Law is temporarily enjoined.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
