US WPS Index rank,State,White,Black,Native American,Asian,Hispanic,,,,,,,,,,,,,,,,,,,
"Employment, 2015-2018",,,,,,,,,,,,,,,,,,,,,,,,,
1,Massachusetts,50.2,55.2,..,51.3,48.1,,,,,,,,,,,,,,,,,,,
2,Connecticut,48.1,52.8,..,49.4,47.5,,,,,,,,,,,,,,,,,,,
3,District of Columbia,74.0,46.0,..,47.3,62.3,,,,,,,,,,,,,,,,,,,
4,Vermont,52.1,..,..,..,..,,,,,,,,,,,,,,,,,,,
5,Rhode Island,46.8,51.3,..,..,48.6,,,,,,,,,,,,,,,,,,,
6,New Hampshire,52.7,..,..,..,59.7,,,,,,,,,,,,,,,,,,,
7,Maryland,51.5,59.0,..,56.2,55.8,,,,,,,,,,,,,,,,,,,
8,New York,46.7,46.4,40.2,45.2,42.7,,,,,,,,,,,,,,,,,,,
9,Maine,48.0,..,..,..,..,,,,,,,,,,,,,,,,,,,
10,Hawaii,47.7,..,..,50.5,53.1,,,,,,,,,,,,,,,,,,,
11,New Jersey,46.9,52.3,..,49.5,50.7,,,,,,,,,,,,,,,,,,,
12,Minnesota,55.5,54.0,44.5,57.4,55.7,,,,,,,,,,,,,,,,,,,
13,Illinois,49.1,45.6,..,50.7,50.5,,,,,,,,,,,,,,,,,,,
14,Colorado,52.6,54.4,..,53.6,50.6,,,,,,,,,,,,,,,,,,,
15,California,44.1,47.0,39.9,48.9,45.6,,,,,,,,,,,,,,,,,,,
16,Wisconsin,52.5,50.4,..,52.6,54.1,,,,,,,,,,,,,,,,,,,
17,Pennsylvania,46.7,47.0,..,49.0,47.1,,,,,,,,,,,,,,,,,,,
18,Oregon,44.4,..,42.0,50.4,53.6,,,,,,,,,,,,,,,,,,,
19,Nebraska,55.3,58.3,..,..,54.3,,,,,,,,,,,,,,,,,,,
20,North Dakota,56.7,..,..,..,..,,,,,,,,,,,,,,,,,,,
21,Michigan,44.2,45.3,44.1,45.6,50.4,,,,,,,,,,,,,,,,,,,
22,Delaware,46.0,52.1,..,..,44.2,,,,,,,,,,,,,,,,,,,
23,Iowa,52.8,..,..,..,54.4,,,,,,,,,,,,,,,,,,,
24,Washington,46.4,56.1,41.6,51.4,53.2,,,,,,,,,,,,,,,,,,,
25,Ohio,47.2,49.9,..,46.8,48.2,,,,,,,,,,,,,,,,,,,
26,Kansas,51.6,53.4,..,53.2,57.8,,,,,,,,,,,,,,,,,,,
26,Virginia,49.7,55.2,..,55.1,53.9,,,,,,,,,,,,,,,,,,,
28,Alaska,55.8,..,39.9,65.4,..,,,,,,,,,,,,,,,,,,,
29,South Dakota,56.9,..,32.6,..,..,,,,,,,,,,,,,,,,,,,
30,Florida,41.3,51.1,42.7,47.7,47.5,,,,,,,,,,,,,,,,,,,
31,Arizona,43.1,54.8,41.8,48.5,47.5,,,,,,,,,,,,,,,,,,,
32,Montana,49.0,..,40.3,..,46.9,,,,,,,,,,,,,,,,,,,
32,North Carolina,45.3,51.4,39.8,50.2,..,,,,,,,,,,,,,,,,,,,
34,Indiana,47.5,51.5,..,43.2,48.5,,,,,,,,,,,,,,,,,,,
35,Nevada,45.9,50.4,45.6,50.6,51.8,,,,,,,,,,,,,,,,,,,
36,Utah,46.1,..,..,54.4,52.8,,,,,,,,,,,,,,,,,,,
37,Georgia,45.2,53.9,..,49.8,47.6,,,,,,,,,,,,,,,,,,,
38,Missouri,48.6,53.6,..,51.8,53.9,,,,,,,,,,,,,,,,,,,
39,Idaho,43.6,..,..,..,52.4,,,,,,,,,,,,,,,,,,,
40,New Mexico,41.5,..,42.5,..,43.4,,,,,,,,,,,,,,,,,,,
41,Texas,47.4,57.3,47.7,50.7,46.9,,,,,,,,,,,,,,,,,,,
42,Oklahoma,45.2,52.5,46.9,54.4,47.5,,,,,,,,,,,,,,,,,,,
43,Wyoming,50.6,..,..,..,52.4,,,,,,,,,,,,,,,,,,,
44,South Carolina,43.9,50.4,..,47.9,46.9,,,,,,,,,,,,,,,,,,,
45,Tennessee,44.7,54.0,..,51.1,46.7,,,,,,,,,,,,,,,,,,,
46,West Virginia,38.3,..,..,..,..,,,,,,,,,,,,,,,,,,,
47,Kentucky,43.8,51.7,..,49.3,50.4,,,,,,,,,,,,,,,,,,,
48,Alabama,40.3,46.1,..,41.1,38.3,,,,,,,,,,,,,,,,,,,
49,Arkansas,43.9,48.3,..,..,49.1,,,,,,,,,,,,,,,,,,,
50,Mississippi,41.5,45.4,..,..,39.9,,,,,,,,,,,,,,,,,,,
51,Louisiana,44.1,47.4,..,48.1,40.9,,,,,,,,,,,,,,,,,,,
,National average,54.1,55.5,51.0g,53.9,52.9,,,,,,,,,,,,,,,,,,,
"State legislature, 2019",,,,,,,,,,,,,,,,,,,,,,,,,
1,Massachusetts,89.7,5.2,0.0,3.4,1.7,,,,,,,,,,,,,,,,,,,
2,Connecticut,86.7,10.0,0.0,0.0,3.3,,,,,,,,,,,,,,,,,,,
3,District of Columbia,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
4,Vermont,97.3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
5,Rhode Island,85.7,2.4,0.0,0.0,7.1,,,,,,,,,,,,,,,,,,,
6,New Hampshire,95.8,2.1,0.0,1.4,0.0,,,,,,,,,,,,,,,,,,,
7,Maryland,56.0,34.7,0.0,4.0,1.3,,,,,,,,,,,,,,,,,,,
8,New York,53.7,26.9,0.0,1.5,14.9,,,,,,,,,,,,,,,,,,,
9,Maine,98.6,1.4,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
10,Hawaii,25.0,0.0,0.0,62.5,0.0,,,,,,,,,,,,,,,,,,,
11,New Jersey,48.6,29.7,0.0,0.0,21.6,,,,,,,,,,,,,,,,,,,
12,Minnesota,82.8,4.7,1.6,3.1,3.1,,,,,,,,,,,,,,,,,,,
