State,Num_code_for_state,year,Citizen_Ideology,Government_Ideology
Alabama,1,1960,41.1925354,60.18840408
Alabama,1,1961,40.84515762,60.18840408
Alabama,1,1962,40.70537567,60.18840408
Alabama,1,1963,37.15590668,60.69919586
Alabama,1,1964,34.97846603,60.69919586
Alabama,1,1965,10.80973339,59.15493011
Alabama,1,1966,10.65730762,59.15493011
Alabama,1,1967,10.86129284,58.31417084
Alabama,1,1968,6.310116768,58.31417084
Alabama,1,1969,13.93583202,56.82667542
Alabama,1,1970,16.08797073,56.82667542
Alabama,1,1971,22.99286652,56.23742676
Alabama,1,1972,15.88528061,56.23742676
Alabama,1,1973,27.90112495,57.74647903
Alabama,1,1974,21.1164875,57.74647903
Alabama,1,1975,20.88055992,57.74647903
Alabama,1,1976,25.33955574,57.74647903
Alabama,1,1977,27.84922981,54.37625885
Alabama,1,1978,25.22139359,54.37625885
Alabama,1,1979,29.83551788,56.63983917
Alabama,1,1980,29.22126961,56.63983917
Alabama,1,1981,26.89806366,54.9496994
Alabama,1,1982,23.27664948,54.9496994
Alabama,1,1983,35.09223175,54.59423065
Alabama,1,1984,28.21488953,54.59423065
Alabama,1,1985,27.87722015,54.59423065
Alabama,1,1986,37.79115677,54.59423065
Alabama,1,1987,38.51693344,42.46370697
Alabama,1,1988,45.0299263,42.46370697
Alabama,1,1989,37.47248459,42.6873703
Alabama,1,1990,33.83535004,42.6873703
Alabama,1,1991,39.80907822,42.75114822
Alabama,1,1992,39.6221199,42.75114822
Alabama,1,1993,39.01713943,55.0196991
Alabama,1,1994,39.41495132,59.41482162
Alabama,1,1995,33.42988205,45.52942657
Alabama,1,1996,29.3992424,45.52942657
Alabama,1,1997,36.02786636,47.83882141
Alabama,1,1998,41.35292053,47.83882141
Alabama,1,1999,43.83360291,67.07746887
Alabama,1,2000,32.0957489,67.07746887
Alabama,1,2001,34.73192596,67.07746887
Alabama,1,2002,33.77883911,67.07746887
Alabama,1,2003,28.70806122,44.6177063
Alabama,1,2004,39.14337921,44.6177063
Alabama,1,2005,40.31811523,44.6177063
Alabama,1,2006,40.31423187,44.6177063
Alabama,1,2007,47.25582504,44.08324051
Alabama,1,2008,48.36923981,44.32643509
Alabama,1,2009,27.26303482,41.36047363
Alabama,1,2010,19.25290108,41.04792023
Alabama,1,2011,36.03850937,28.79898834
Alabama,1,2012,37.59914017,28.40795135
Alabama,1,2013,35.8233757,27.74424744
Alabama,1,2014,33.77626038,27.74424744
Alabama,1,2015,34.95671082,24.83023071
Alabama,1,2016,38.24081802,24.83023071
Alabama,1,2021,,
Alaska,2,1960,67.85103607,77.88397217
Alaska,2,1961,69.09712219,76.29826355
Alaska,2,1962,69.53276062,76.29826355
Alaska,2,1963,63.84259033,73.91831207
Alaska,2,1964,63.8544426,73.91831207
Alaska,2,1965,64.5369873,77.88397217
Alaska,2,1966,65.10154724,77.88397217
Alaska,2,1967,44.68911362,45.02012253
Alaska,2,1968,55.37985611,45.02012253
Alaska,2,1969,54.35403442,47.4471817
Alaska,2,1970,71.48432159,47.4471817
Alaska,2,1971,70.26426697,67.43586731
Alaska,2,1972,73.82514191,67.43586731
Alaska,2,1973,54.44246292,56.39219666
Alaska,2,1974,55.36885834,56.39219666
Alaska,2,1975,50.00178909,50.69165039
